Algorithm,Size,Time(seconds)
bubble,500,0.000520
selection,500,0.000291
insertion,500,0.000032
shell,500,0.000062
heap,500,0.000024
merge,500,0.000034
quick,500,0.000018
comb,500,0.000025
cocktail,500,0.000509
cycle,500,0.000241
gnome,500,0.000476
tim,500,0.000014
counting,500,0.000010
radix,500,0.000010
bucket,500,0.000010
pigeonhole,500,0.000013
bitonic,500,0.000066
stooge,500,0.036936
oddeven,500,0.000138
strand,500,0.000038
intro,500,0.000022
bubble,600,0.000643
selection,600,0.000375
insertion,600,0.000037
shell,600,0.000025
heap,600,0.000023
merge,600,0.000031
quick,600,0.000018
comb,600,0.000024
cocktail,600,0.000657
cycle,600,0.000305
gnome,600,0.000718
tim,600,0.000020
counting,600,0.000012
radix,600,0.000012
bucket,600,0.000013
pigeonhole,600,0.000022
bitonic,600,0.000085
stooge,600,0.040930
oddeven,600,0.000212
strand,600,0.000056
intro,600,0.000016
bubble,700,0.000872
selection,700,0.000677
insertion,700,0.000049
shell,700,0.000031
heap,700,0.000028
merge,700,0.000040
quick,700,0.000026
comb,700,0.000036
cocktail,700,0.000878
cycle,700,0.000432
gnome,700,0.000951
tim,700,0.000024
counting,700,0.000009
radix,700,0.000014
bucket,700,0.000015
pigeonhole,700,0.000015
bitonic,700,0.000089
stooge,700,0.036220
oddeven,700,0.000415
strand,700,0.000067
intro,700,0.000018
bubble,800,0.001006
selection,800,0.000759
insertion,800,0.000072
shell,800,0.000040
heap,800,0.000037
merge,800,0.000056
quick,800,0.000030
comb,800,0.000040
cocktail,800,0.001140
cycle,800,0.000527
gnome,800,0.001040
tim,800,0.000025
counting,800,0.000007
radix,800,0.000014
bucket,800,0.000016
pigeonhole,800,0.000015
bitonic,800,0.000097
stooge,800,0.110798
oddeven,800,0.000357
strand,800,0.000089
intro,800,0.000023
bubble,900,0.001292
selection,900,0.000860
insertion,900,0.000078
shell,900,0.000048
heap,900,0.000046
merge,900,0.000062
quick,900,0.000032
comb,900,0.000044
cocktail,900,0.001244
cycle,900,0.000631
gnome,900,0.001307
tim,900,0.000030
counting,900,0.000010
radix,900,0.000019
bucket,900,0.000020
pigeonhole,900,0.000018
bitonic,900,0.000178
stooge,900,0.109286
oddeven,900,0.000443
strand,900,0.000111
intro,900,0.000029
bubble,1000,0.001663
selection,1000,0.001055
insertion,1000,0.000107
shell,1000,0.000060
heap,1000,0.000056
merge,1000,0.000073
quick,1000,0.000039
comb,1000,0.000054
cocktail,1000,0.001865
cycle,1000,0.000911
gnome,1000,0.002078
tim,1000,0.000042
counting,1000,0.000009
radix,1000,0.000021
bucket,1000,0.000027
pigeonhole,1000,0.000021
bitonic,1000,0.000145
stooge,1000,0.108080
oddeven,1000,0.000618
strand,1000,0.000125
intro,1000,0.000037
bubble,1100,0.002070
selection,1100,0.001230
insertion,1100,0.000128
shell,1100,0.000063
heap,1100,0.000062
merge,1100,0.000078
quick,1100,0.000044
comb,1100,0.000058
cocktail,1100,0.002014
cycle,1100,0.000945
gnome,1100,0.002098
tim,1100,0.000044
counting,1100,0.000016
radix,1100,0.000023
bucket,1100,0.000029
pigeonhole,1100,0.000021
bitonic,1100,0.000147
stooge,1100,0.314083
oddeven,1100,0.000747
strand,1100,0.000139
intro,1100,0.000039
bubble,1200,0.002231
selection,1200,0.001541
insertion,1200,0.000154
shell,1200,0.000095
heap,1200,0.000093
merge,1200,0.000094
quick,1200,0.000054
comb,1200,0.000072
cocktail,1200,0.002915
cycle,1200,0.001333
