Algorithm,Size,Time(seconds)
bubble,1000,0.001929
selection,1000,0.001443
insertion,1000,0.000156
shell,1000,0.000072
heap,1000,0.000072
merge,1000,0.000087
quick,1000,0.000046
comb,1000,0.000063
cocktail,1000,0.001856
cycle,1000,0.001080
gnome,1000,0.001879
tim,1000,0.000051
counting,1000,0.000016
radix,1000,0.000023
bucket,1000,0.000026
pigeonhole,1000,0.000020
bitonic,1000,0.000146
stooge,1000,0.125475
oddeven,1000,0.000601
strand,1000,0.000161
intro,1000,0.000047
bubble,2000,0.007132
selection,2000,0.004515
insertion,2000,0.000532
shell,2000,0.000155
heap,2000,0.000142
merge,2000,0.000148
quick,2000,0.000088
comb,2000,0.000116
cocktail,2000,0.006600
cycle,2000,0.003514
gnome,2000,0.007516
tim,2000,0.000089
counting,2000,0.000014
radix,2000,0.000036
bucket,2000,0.000066
pigeonhole,2000,0.000033
bitonic,2000,0.000311
stooge,2000,0.993872
oddeven,2000,0.001633
strand,2000,0.000379
intro,2000,0.000072
bubble,3000,0.014500
selection,3000,0.009840
insertion,3000,0.001058
shell,3000,0.000306
heap,3000,0.000227
merge,3000,0.000324
quick,3000,0.000203
comb,3000,0.000239
cocktail,3000,0.013964
cycle,3000,0.006961
gnome,3000,0.015432
tim,3000,0.000113
counting,3000,0.000015
radix,3000,0.000056
bucket,3000,0.000134
pigeonhole,3000,0.000040
bitonic,3000,0.000447
stooge,3000,2.977731
oddeven,3000,0.003555
strand,3000,0.000779
intro,3000,0.000115
bubble,4000,0.025629
selection,4000,0.017665
insertion,4000,0.001458
shell,4000,0.000305
heap,4000,0.000263
merge,4000,0.000525
quick,4000,0.000257
comb,4000,0.000287
cocktail,4000,0.026753
cycle,4000,0.011048
gnome,4000,0.026719
tim,4000,0.000164
counting,4000,0.000026
radix,4000,0.000073
bucket,4000,0.000333
pigeonhole,4000,0.000048
bitonic,4000,0.000647
stooge,4000,8.768814
oddeven,4000,0.005935
strand,4000,0.001211
intro,4000,0.000311
bubble,5000,0.043260
selection,5000,0.024679
insertion,5000,0.002216
shell,5000,0.000429
heap,5000,0.000346
merge,5000,0.000513
quick,5000,0.000279
comb,5000,0.000374
cocktail,5000,0.040527
cycle,5000,0.019443
gnome,5000,0.040437
tim,5000,0.000198
counting,5000,0.000017
radix,5000,0.000086
bucket,5000,0.000346
pigeonhole,5000,0.000046
bitonic,5000,0.000847
stooge,5000,8.878594
oddeven,5000,0.008932
strand,5000,0.001649
intro,5000,0.000230
bubble,6000,0.064236
selection,6000,0.037770
insertion,6000,0.003226
shell,6000,0.000480
heap,6000,0.000405
merge,6000,0.000595
quick,6000,0.000316
comb,6000,0.000410
cocktail,6000,0.063235
cycle,6000,0.025820
gnome,6000,0.060926
tim,6000,0.000264
counting,6000,0.000101
radix,6000,0.000124
bucket,6000,0.000468
pigeonhole,6000,0.000056
bitonic,6000,0.000958
stooge,6000,26.824851
oddeven,6000,0.013012
strand,6000,0.002575
intro,6000,0.000281
bubble,7000,0.081372
selection,7000,0.049509
insertion,7000,0.004923
shell,7000,0.000556
heap,7000,0.000451
merge,7000,0.000511
quick,7000,0.000333
comb,7000,0.000474
cocktail,7000,0.082317
cycle,7000,0.037635
gnome,7000,0.080627
tim,7000,0.000350
counting,7000,0.000026
radix,7000,0.000121
bucket,7000,0.000589
pigeonhole,7000,0.000056
bitonic,7000,0.001132
stooge,7000,26.703135
oddeven,7000,0.019234
strand,7000,0.002700
intro,7000,0.000307
bubble,8000,0.111138
selection,8000,0.067007
insertion,8000,0.005389
shell,8000,0.000620
heap,8000,0.000506
merge,8000,0.000563
quick,8000,0.000358
comb,8000,0.000520
cocktail,8000,0.113857
cycle,8000,0.047020
gnome,8000,0.102843
tim,8000,0.000376
counting,8000,0.000040
radix,8000,0.000143
bucket,8000,0.000820
pigeonhole,8000,0.000060
bitonic,8000,0.001331
stooge,8000,26.519851
oddeven,8000,0.027406
strand,8000,0.004516
intro,8000,0.000418
bubble,9000,0.142406
selection,9000,0.080710
insertion,9000,0.007300
shell,9000,0.000694
heap,9000,0.000592
merge,9000,0.000681
quick,9000,0.000422
comb,9000,0.000551
cocktail,9000,0.147226
cycle,9000,0.060655
gnome,9000,0.128765
tim,9000,0.000585
counting,9000,0.000055
radix,9000,0.000208
bucket,9000,0.001086
pigeonhole,9000,0.000079
bitonic,9000,0.001983
stooge,9000,80.121658
oddeven,9000,0.036619
strand,9000,0.004345
intro,9000,0.000455
bubble,10000,0.190888
selection,10000,0.104939
insertion,10000,0.009916
shell,10000,0.000901
heap,10000,0.000699
merge,10000,0.000738
quick,10000,0.000477
comb,10000,0.000606
cocktail,10000,0.186999
cycle,10000,0.072982
gnome,10000,0.158411
tim,10000,0.000524
counting,10000,0.000047
radix,10000,0.000191
bucket,10000,0.001135
pigeonhole,10000,0.000067
bitonic,10000,0.001951
stooge,10000,81.377098
oddeven,10000,0.046869
strand,10000,0.004777
intro,10000,0.000490
